CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,RecordSource,LoadDate,CustomerHashKey,CustomerHashDiff
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,NULL,12209,Germany,030-0074321,030-0076545,Northwind_Sqldb,2024-09-25,0x43D4687937E5358375407054D28D26F8,0xFC8AA5D5D27DB89AA926D2D51BAF87C4
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,NULL,05021,Mexico,(5) 555-4729,(5) 555-3745,Northwind_Sqldb,2024-09-25,0x584D0B683C457577492DB6E42FD1ABCE,0x125B7E654ACA8A291B855C5B6215999D
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.,NULL,05023,Mexico,(5) 555-3932,NULL,Northwind_Sqldb,2024-09-25,0x503B6F267A3DFEBF1A574177C15BB737,0xB7C73411B6CC655DAAFC3AE7A90E0C7E
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,NULL,WA1 1DP,UK,(171) 555-7788,(171) 555-6750,Northwind_Sqldb,2024-09-25,0x0AC13DFE662A56D011ECC6A5394DBAA7,0xD57588F2171F100E65510A97B8966FCE
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,NULL,S-958 22,Sweden,0921-12 34 65,0921-12 34 67,Northwind_Sqldb,2024-09-25,0xEC7A3EA42658C94BD736491A46516EC9,0xF1D26455F388B97344B52F7B65C02387
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,NULL,68306,Germany,0621-08460,0621-08924,Northwind_Sqldb,2024-09-25,0x975593406A032B0E73CB9206144DF366,0xBBAD5CBFCC32CB48D265C5EE76898DA9
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,"24, place Kléber",Strasbourg,NULL,67000,France,88.60.15.31,88.60.15.32,Northwind_Sqldb,2024-09-25,0xB041B6BAC436A17A8366842BAD5EC323,0x04180CB1CCD439E7D776671B33285DC7
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,"C/ Araquil, 67",Madrid,NULL,28023,Spain,(91) 555 22 82,(91) 555 91 99,Northwind_Sqldb,2024-09-25,0xFD4259E7EB9196E34249564462AB06B6,0x408E1656A2D118FDC78327E6E1AFD70A
BONAP,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,NULL,13008,France,91.24.45.40,91.24.45.41,Northwind_Sqldb,2024-09-25,0x1A191A8C881B7F754DAD90D732D16537,0xCCFC7F31F3A68393B38F3E27E509D7D0
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745,Northwind_Sqldb,2024-09-25,0x0E982E9D7F6122F1BE2B3B2AC3C03BB2,0x8C5A675A048C604ADD86BE59CB923BB6
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,NULL,EC2 5NT,UK,(171) 555-1212,NULL,Northwind_Sqldb,2024-09-25,0xF32ABE2B5A83DE6CB474142AFF3F0BB4,0x3C34A28D045D3673ACAC53DBAD60E5E7
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,NULL,1010,Argentina,(1) 135-5555,(1) 135-4892,Northwind_Sqldb,2024-09-25,0x774EEE0D3A0C99CC6F757ECDBFBB552E,0x98D167CB756CF28E99F9D26DAA431EA8
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,NULL,05022,Mexico,(5) 555-3392,(5) 555-7293,Northwind_Sqldb,2024-09-25,0x688EE87063550FA51B5E38BF9BE62D06,0x89CCD7EEBFE5018C980656D3AE72CEE6
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,NULL,3012,Switzerland,0452-076545,NULL,Northwind_Sqldb,2024-09-25,0xB4FB9D3CA547758E3668703084D995CD,0xBA371D5B25A33103C818AE980FC6F222
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,NULL,Northwind_Sqldb,2024-09-25,0x7F5816460D413B083D96AB77DE3840B3,0x2DEE5F76EBEA9E29776CCC76252F8CE8
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,NULL,WX1 6LT,UK,(171) 555-2282,(171) 555-9199,Northwind_Sqldb,2024-09-25,0x4BFD299F19DE491370E7A60A264793E7,0x475F41AE59F5CECC648A4270F94EE2EB
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,NULL,52066,Germany,0241-039123,0241-059428,Northwind_Sqldb,2024-09-25,0x34BCA7753967BF315119431751B97C32,0x40D4A754629D15E73DA2DEFF8D1F6082
DUMON,Du monde entier,Janine Labrune,Owner,"67, rue des Cinquante Otages",Nantes,NULL,44000,France,40.67.88.88,40.67.89.89,Northwind_Sqldb,2024-09-25,0x50B54CBB0D775CCC413F61F11358B1C4,0xA0DD294047D394CBA4D5FE76656BDE00
EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,NULL,WX3 6FW,UK,(171) 555-0297,(171) 555-3373,Northwind_Sqldb,2024-09-25,0x32BCE2A7BF12374C25203C01B1DAF20C,0x63417E05FF55FEB598F841C5AF0CCE34
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,NULL,8010,Austria,7675-3425,7675-3426,Northwind_Sqldb,2024-09-25,0x64434A4B42EA403D8EB946D528001395,0x7ACA90B5AAC0E78B13DFB17C9FDADC6C
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,(11) 555-9857,NULL,Northwind_Sqldb,2024-09-25,0xAAA0BCB4023385D0BE4F10155A8F1E72,0x7BFE85CE02DA2A04566D8E11F3BBAEF0
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain,(91) 555 94 44,(91) 555 55 93,Northwind_Sqldb,2024-09-25,0xA557676A8D405F54E7EA7854345CA886,0x94B8FC0A3CFF4E0CC3E72DA8338B037A
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,"184, chaussée de Tournai",Lille,NULL,59000,France,20.16.10.16,20.16.10.17,Northwind_Sqldb,2024-09-25,0x352045E07BDDD6098C6431335176EBDB,0x81ECB5AC622BE048953B2D7D60A6B01D
FOLKO,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden,0695-34 67 21,NULL,Northwind_Sqldb,2024-09-25,0xC1437E6BACD0F10597B2551E99F2078A,0x9A0F8F20385A6A42ED8496F630137FC2
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,NULL,80805,Germany,089-0877310,089-0877451,Northwind_Sqldb,2024-09-25,0x949FA1B57414CC445CBD1DEF7579ACC9,0x39EA91827D7462398EEFA59F990A62D0
FRANR,France restauration,Carine Schmitt,Marketing Manager,"54, rue Royale",Nantes,NULL,44000,France,40.32.21.21,40.32.21.20,Northwind_Sqldb,2024-09-25,0xB9C59D0AEFA712A75F0B7779325D4F80,0x51FEBD4D4FA7F8EA5D9739E22ED20296
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,NULL,10100,Italy,011-4988260,011-4988261,Northwind_Sqldb,2024-09-25,0xF574799998E8AB06277F4C0378274AE4,0x4C097372BF29699FE1B8F464C4229FF9
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal,(1) 354-2534,(1) 354-2535,Northwind_Sqldb,2024-09-25,0x66000B7C408BFBE234C0A94199F19573,0x4546229891BC6E9FCFC2334CD5D99E67
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,"Rambla de Cataluña, 23",Barcelona,NULL,08022,Spain,(93) 203 4560,(93) 203 4561,Northwind_Sqldb,2024-09-25,0x2E2522CF50352B7DF48AC4E068CA92F2,0xE01700E3E4AADA6F40C2D2BF990DE1AE
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,"C/ Romero, 33",Sevilla,NULL,41101,Spain,(95) 555 82 82,NULL,Northwind_Sqldb,2024-09-25,0x6202BDBDEDB37608B42C655E180A0EE6,0xDDC1454F5DEFD56800D66C979B5CBCBD
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil,(11) 555-9482,NULL,Northwind_Sqldb,2024-09-25,0xD8DDA54BDA4B06FAB5725D3FD6CA2943,0x352E6FBE69932DDDD0FE270C61F08C7E
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555,NULL,Northwind_Sqldb,2024-09-25,0x48E2C064298CBB63B4A483C8079AEA9E,0xB4084FFCB7B6D5F4D4E353372C12502E
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397,Northwind_Sqldb,2024-09-25,0x553FC38B2213047725451D349DE23FDE,0x7764118E5E471BF6561A9A24E34418AA
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,Northwind_Sqldb,2024-09-25,0xAA5B8A38255AFA856209B273B7CDAC3C,0x1612030A5DD09E87F2D6F07B62EEBF97
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948,Northwind_Sqldb,2024-09-25,0x28F7D10E20B65562A8678E5E1105A11C,0xEFA1A39C2CF62E4666DDDAC72065B772
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376,Northwind_Sqldb,2024-09-25,0xBD2B77D93381FC13FB053C00C02F24EB,0xE0710684B239BDFC69C9C5687FEF51F4
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland,2967 542,2967 3333,Northwind_Sqldb,2024-09-25,0x513A2AADC47B8243A86401CBC71AB36D,0x338D7E518790BFB5EB6EEF0DDD9D9C89
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888,NULL,Northwind_Sqldb,2024-09-25,0xA162BECA142D2168BBC4211F1E225DC0,0x859D24A77AF69D104951114BDCE3107A
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,NULL,14776,Germany,0555-09876,NULL,Northwind_Sqldb,2024-09-25,0x3E71FF4F5596F00E379C16059A8F5C65,0xD35D9EE13C033258719548F6123DC6A1
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,"67, avenue de l'Europe",Versailles,NULL,78000,France,30.59.84.10,30.59.85.11,Northwind_Sqldb,2024-09-25,0x1E01C5187DC29663E093FE1D9189C79B,0x0BDF26F1B148F778553143933AFAE627
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France,61.77.61.10,61.77.61.11,Northwind_Sqldb,2024-09-25,0x3D45B82C597FE71AF9B6FDD7122A48ED,0x743F25C7C9193C119355B9FA1B84DA07
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,(604) 555-3392,(604) 555-7293,Northwind_Sqldb,2024-09-25,0x32AD4D2687F500FDCC4334456A907B1A,0x652CD9A06F417CDF9B3774D4BDC84F25
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221,Northwind_Sqldb,2024-09-25,0x01AE90E2E23AAD7BCDDF9039CB55CDAD,0x839E4408D212EBE104D966FCDDFFB375
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany,069-0245984,069-0245874,Northwind_Sqldb,2024-09-25,0x0C006C9961DEF01DCA5610EDB0149091,0xE7BB3AA36EC406C609B58035EC7A5F6C
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,87 Polk St. Suite 5,San Francisco,CA,94117,USA,(415) 555-5938,NULL,Northwind_Sqldb,2024-09-25,0xEF0DA3F18DD2C9D0570F7707C6C74280,0x83BFB187205751D08BA33B04E697A025
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256,Northwind_Sqldb,2024-09-25,0xBFF0FE38FCA70998A2B85093B8122C2D,0xF60E18DD79E602F450ACB8354DF62835
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,Northwind_Sqldb,2024-09-25,0x32B7ABF8EEF77A1EC867F3B1DF2502E4,0x452E3D9970D06E6D2411C30FF45918BB
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,89 Chiaroscuro Rd.,Portland,OR,97219,USA,(503) 555-9573,(503) 555-9646,Northwind_Sqldb,2024-09-25,0x0EB78F94D63BDB9CB8C3F365D0186E6A,0xE6E03B38A6EF8F8878A9EBDB67190F02
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy,035-640230,035-640231,Northwind_Sqldb,2024-09-25,0xCA0DEE073A4AC68C1C651B762DE464D8,0xB0ADE6971EB0F8587BD9FDFBF273F846
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Rue Joseph-Bens 532,Bruxelles,NULL,B-1180,Belgium,(02) 201 24 67,(02) 201 24 68,Northwind_Sqldb,2024-09-25,0x1FAB92173EC356D5CFD50DCC19FEC99A,0x22221126A4A8EA77842F636DC73810EA
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055,Northwind_Sqldb,2024-09-25,0x9C8952C81C9066F09C6419D7C18D33E1,0x4C3163D440680011BEA8D0E54BC1050C
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Heerstr. 22,Leipzig,NULL,04179,Germany,0342-023176,NULL,Northwind_Sqldb,2024-09-25,0xBEA24E9D8A403D6D711DE3BE7D0A2722,0x17B733C71D9AF06BADD74A3D1FD7FAD0
NORTS,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,NULL,SW7 1RZ,UK,(171) 555-7733,(171) 555-2530,Northwind_Sqldb,2024-09-25,0x20F32FDC06368BC2DBC96A6B53624508,0x02A67A8CD86A7D17B4D9DA8C5EA9DF66
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,NULL,1010,Argentina,(1) 135-5333,(1) 135-5535,Northwind_Sqldb,2024-09-25,0xFCBA1B033457B4E04433BABE09001E1D,0xCBDD2F53F900BCA18E38C6920A8482B8
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,2743 Bering St.,Anchorage,AK,99508,USA,(907) 555-7584,(907) 555-2880,Northwind_Sqldb,2024-09-25,0x9702ED2AD1F83DBD9D2F9A0F2873ED6D,0xBA0E1B7339F530238B484257BF0D1ACC
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,NULL,50739,Germany,0221-0644327,0221-0765721,Northwind_Sqldb,2024-09-25,0x279E4DBDAC253C5F417CD3F5632FB507,0x02506EE6BD325C111203C300D5351D3D
PARIS,Paris spécialités,Marie Bertrand,Owner,"265, boulevard Charonne",Paris,NULL,75012,France,(1) 42.34.22.66,(1) 42.34.22.77,Northwind_Sqldb,2024-09-25,0xD0488760ACB29FC8BDA8ADFB347C086C,0x50E56D1F08B954207598A1ECB4383C99
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,NULL,05033,Mexico,(5) 552-3745,(5) 545-3745,Northwind_Sqldb,2024-09-25,0x9FD9A24FA77ED4131A3A07464049F9AE,0x273163E7BE7833F800AAC05019A43870
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,NULL,5020,Austria,6562-9722,6562-9723,Northwind_Sqldb,2024-09-25,0x833814E3D7AC747D1495F174A6586D80,0xD216696B6A2A3F5348FC645719C5BD1E
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,NULL,1756,Portugal,(1) 356-5634,NULL,Northwind_Sqldb,2024-09-25,0xBC3E8D39D6A1ED4BA0111F997A3C072B,0x54EEC5C5885F9649D2724EFCA71F5C06
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252,(21) 555-4545,Northwind_Sqldb,2024-09-25,0x3FC739FA0A0F9D9F40F2AAA12DE2175A,0xB584E235D2961AEDBF8DF36C67B96E13
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,NULL,Northwind_Sqldb,2024-09-25,0xC4099BD82BA77FBCCFDC0B9F748E511E,0xC9293B33957EEEB27BD6E3D51CB0D81B
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,NULL,01307,Germany,0372-035188,NULL,Northwind_Sqldb,2024-09-25,0x12ED067789347A1B68B941AC941DBD6A,0xCD1C7F372F2C61A6BD51A3D69109DB66
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Av. del Libertador 900,Buenos Aires,NULL,1010,Argentina,(1) 123-5555,(1) 123-5556,Northwind_Sqldb,2024-09-25,0x063C5470F691675F4FB679B5712ABD6E,0x23BC0E29CA3CDF67D00BE88D4AA5DC98
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,Northwind_Sqldb,2024-09-25,0x794D07DAB43303F0B6251B3FBD7E8A01,0x3DDEE3486D79F992B6DF14B023A928F3
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy,0522-556721,0522-556722,Northwind_Sqldb,2024-09-25,0xB88EC23DA5DBCA9576834D6FA92A6211,0x6221401224AAFBE7817042DB6F546D8A
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,NULL,Northwind_Sqldb,2024-09-25,0xD25AA93230323E886E34C0D34FF5DCE4,0xE3FE5F38232F09DA1B2F056912EE84AD
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,NULL,1203,Switzerland,0897-034214,NULL,Northwind_Sqldb,2024-09-25,0x2598D44B1DF0F1C2226876CB9A59643E,0x18AAB66B9C7621988938EBBE4322A8A5
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,"Gran Vía, 1",Madrid,NULL,28001,Spain,(91) 745 6200,(91) 745 6210,Northwind_Sqldb,2024-09-25,0xE48841A49687DCCB0AE297E1CDAA057F,0x7F737A833195EEAE308D9031DA5AB84A
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Erling Skakkes gate 78,Stavern,NULL,4110,Norway,07-98 92 35,07-98 92 47,Northwind_Sqldb,2024-09-25,0x3A19A7E0EDE2C62BC1FA6E32B53B747C,0x65126CAC233A28ADF42EC218C36A646A
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,NULL,Northwind_Sqldb,2024-09-25,0x8DE6CC4A6F799D2D2431420D1A58DA4D,0xA21F253BAEC7A4FDC620A9796E43C369
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK,(171) 555-1717,(171) 555-5646,Northwind_Sqldb,2024-09-25,0x71DD422D3DCB9844A75040E3BE082251,0x30C56E94028F03E86DEDADAA7C4D28E6
SIMOB,Simons bistro,Jytte Petersen,Owner,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark,31 12 34 56,31 13 35 57,Northwind_Sqldb,2024-09-25,0x4B3F94636D88307BF785A615089E850E,0x21C459643256526C2755F41B0F002D25
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,"25, rue Lauriston",Paris,NULL,75016,France,(1) 47.55.60.10,(1) 47.55.60.20,Northwind_Sqldb,2024-09-25,0x5B589F22F739E6D5AFA8B340181594FB,0x6A95090B42EA77E629E9DA9A8B7BD9AC
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,P.O. Box 555,Lander,WY,82520,USA,(307) 555-4680,(307) 555-6525,Northwind_Sqldb,2024-09-25,0x50EDF92723BA61CC9C6031B6999454CB,0x57B013A33221A0B036698F35DC814EAB
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,NULL,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,Northwind_Sqldb,2024-09-25,0x5204A358A2757477BF972C079CCD1EDD,0x891ED84F5D35A7A1D54A333A1F8B958E
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,89 Jefferson Way Suite 2,Portland,OR,97201,USA,(503) 555-3612,NULL,Northwind_Sqldb,2024-09-25,0x1A84D4297844DBA44BFE7943AA812ECD,0x61C62E0DF62F6D272ED812282417DD33
THECR,The Cracker Box,Liu Wong,Marketing Assistant,55 Grizzly Peak Rd.,Butte,MT,59801,USA,(406) 555-5834,(406) 555-8083,Northwind_Sqldb,2024-09-25,0xD36A033891A12865881E992EF9840563,0xC2C4E4D2C94082CE759633CBD05D46BD
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,NULL,44087,Germany,0251-031259,0251-035695,Northwind_Sqldb,2024-09-25,0xC894A8DE4A3E95F482EACA5A45906F97,0xE285AE3463BA68091AA5AAA1EF3072E2
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Avda. Azteca 123,México D.F.,NULL,05033,Mexico,(5) 555-2933,NULL,Northwind_Sqldb,2024-09-25,0x8ABDF3F2BDD0ED3FE7674EE249CDB534,0x79BD36C557A6626F2DE67F2898ECB012
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil,(11) 555-2167,(11) 555-2168,Northwind_Sqldb,2024-09-25,0x6F7B7B7BA8148887E755C2F8822217D5,0x2EB11A52793D977CACC502782FF25E2A
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,722 DaVinci Blvd.,Kirkland,WA,98034,USA,(206) 555-8257,(206) 555-2174,Northwind_Sqldb,2024-09-25,0x8EEA1EAC82A31116EB5AF013B413AB4E,0xB5EC337CC796AA9A2080E22DE8467F61
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,NULL,8200,Denmark,86 21 32 43,86 22 33 44,Northwind_Sqldb,2024-09-25,0xA00D315B81D03B7B7D3667354FC28558,0x9EC324BC222FF496B3AC172A1E77A4CF
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,NULL,69004,France,78.32.54.86,78.32.54.87,Northwind_Sqldb,2024-09-25,0xA29F3A3E5A8D41D169C93D87DF1CDD0C,0x75A24039E59469BCCA51F08305663C70
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,NULL,51100,France,26.47.15.10,26.47.15.11,Northwind_Sqldb,2024-09-25,0x42199D8629EA8721AAB07D8DDF73010E,0x53C8E43737DEFA431B846909B88526E3
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Adenauerallee 900,Stuttgart,NULL,70563,Germany,0711-020361,0711-035428,Northwind_Sqldb,2024-09-25,0x34D6B208BFA19FC77E288A31DDC817FA,0x0CCA658D3AC26E28D9783C97A1EED75C
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,NULL,90110,Finland,981-443655,981-443655,Northwind_Sqldb,2024-09-25,0x8D56E03ECCFEFE350E26283328C086E9,0xAE24E615732995FE26F735C615BEDE57
WELLI,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,(14) 555-8122,NULL,Northwind_Sqldb,2024-09-25,0x28AF04A27F4715A50757DB1801F41516,0xF5FB23E46DED26F97AB6851EAE34682A
WHITC,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115,Northwind_Sqldb,2024-09-25,0xF24E984DE8AA7B064BECDEAB8CB7F939,0xF72CA5D0A6D42B40376900D8A0128719
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Keskuskatu 45,Helsinki,NULL,21240,Finland,90-224 8858,90-224 8858,Northwind_Sqldb,2024-09-25,0x3985AC392068B22DD0803B5308802BDB,0x9D914E98DF7559FED6ED1ADA426FC4B9
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,ul. Filtrowa 68,Warszawa,NULL,01-012,Poland,(26) 642-7012,(26) 642-7012,Northwind_Sqldb,2024-09-25,0x6378F17F7078E251DB1141224D316911,0x5548EB0233660678499B5BE942C54F85
